1/6 22:18:02.009  COMBAT_LOG_VERSION,4,ADVANCED_LOG_ENABLED,1
1/7 16:25:04.619  SPELL_AURA_REFRESH,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,DEBUFF
1/7 16:25:04.619  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,34878,37000,0,498.74,-219.00,388,388,388,0,nil
1/7 16:25:05.118  SPELL_AURA_APPLIED,Creature-0-3777-1116-32565-80653-0020528555,"Shockscale Eel",0xa48,0x0,Creature-0-3777-1116-32565-80653-0020528555,"Shockscale Eel",0xa48,0x0,161640,"Electrified Scales",0x8,BUFF
1/7 16:25:05.118  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0004D28554,0000000000000000,5312,8190,0,0,1,0,0,0,498.21,-220.48,91,852,-1,4,0,0,0,1,nil,nil
1/7 16:25:05.118  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,94472,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,34972,37000,0,498.74,-219.00,388,387,387,0,1
1/7 16:25:05.271  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0011D28555,0000000000000000,779,8190,0,0,1,0,0,0,498.15,-220.46,91,852,-1,4,0,0,0,1,nil,nil
1/7 16:25:05.271  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,94472,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35091,37000,0,498.74,-219.00,388,388,388,0,1
1/7 16:25:05.673  SWING_MISSED,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,458
1/7 16:25:05.673  SWING_MISSED,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,516
1/7 16:25:05.673  SWING_MISSED,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,461
1/7 16:25:05.673  SWING_MISSED,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,460
1/7 16:25:05.673  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,458
1/7 16:25:05.673  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35214,37000,0,498.74,-219.00,388,0,-1,1,0,0,458,nil,nil,nil
1/7 16:25:05.673  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,516
1/7 16:25:05.673  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35214,37000,0,498.74,-219.00,388,0,-1,1,0,0,516,nil,nil,nil
1/7 16:25:05.673  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,461
1/7 16:25:05.673  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35214,37000,0,498.74,-219.00,388,0,-1,1,0,0,461,nil,nil,nil
1/7 16:25:05.673  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,460
1/7 16:25:05.673  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35214,37000,0,498.74,-219.00,388,0,-1,1,0,0,460,nil,nil,nil
1/7 16:25:06.080  SPELL_CAST_START,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
1/7 16:25:06.080  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0012528555,0000000000000000,2567,8190,0,0,1,0,0,0,499.31,-220.20,91,426,-1,4,0,0,0,nil,nil,nil
1/7 16:25:06.080  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35327,37000,0,498.74,-219.00,388,194,194,0,nil
1/7 16:25:06.582  SWING_MISSED,Creature-0-3777-1116-32565-75471-0005D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,410
1/7 16:25:06.582  SWING_MISSED,Creature-0-3777-1116-32565-75471-0005528554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,448
1/7 16:25:06.582  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0005D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,410
1/7 16:25:06.582  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0005D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35457,37000,0,498.74,-219.00,388,0,-1,1,0,0,410,nil,nil,nil
1/7 16:25:06.582  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0005528554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,361
1/7 16:25:06.582  SPELL_ENERGIZE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,47755,"Shield Discipline",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35827,37000,0,498.74,-219.00,388,370,0,0,37000
1/7 16:25:06.582  SPELL_AURA_REMOVED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,17,"Power Word: Shield",0x2,BUFF,0,0
1/7 16:25:06.582  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0005528554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36614,36701,0,852,0,35827,37000,0,498.74,-219.00,388,87,-1,1,0,0,361,nil,nil,nil
1/7 16:25:06.582  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0004D28554,0000000000000000,4886,8190,0,0,1,0,0,0,498.21,-220.48,91,426,-1,4,0,0,0,nil,nil,nil
1/7 16:25:06.582  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35854,37000,0,498.74,-219.00,388,194,107,0,nil
1/7 16:25:06.954  SPELL_CAST_START,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,167119,"Sting",0x8
1/7 16:25:06.954  SPELL_CAST_START,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,167119,"Sting",0x8
1/7 16:25:07.201  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0011D28555,0000000000000000,353,8190,0,0,1,0,0,0,498.15,-220.46,91,426,-1,4,0,0,0,nil,nil,nil
1/7 16:25:07.201  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35981,37000,0,498.74,-219.00,388,194,194,0,nil
1/7 16:25:07.433  SPELL_CAST_SUCCESS,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,585,"Smite",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,36076,37000,185,498.74,-219.00,388
1/7 16:25:07.433  SPELL_AURA_APPLIED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,208772,"Smite",0x2,DEBUFF
1/7 16:25:07.433  SPELL_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,585,"Smite",0x2,Creature-0-3777-1116-32565-75471-0004D28554,0000000000000000,2671,8190,0,0,1,0,0,0,498.21,-220.48,91,2215,-1,2,0,0,0,nil,nil,nil
1/7 16:25:07.433  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35895,37000,0,498.74,-219.00,388,1008,1008,0,nil
1/7 16:25:07.433  SPELL_CAST_START,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
1/7 16:25:07.819  SWING_MISSED,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,ABSORB,nil,414
1/7 16:25:07.819  SWING_DAMAGE,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011D28555,0000000000000000,353,8190,0,0,1,0,0,0,498.15,-220.46,91,355,-1,1,0,0,0,nil,nil,nil
1/7 16:25:07.819  SPELL_ABSORBED,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,208771,"Smite",0x2,414
1/7 16:25:07.819  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,35995,37000,0,498.74,-219.00,388,0,-1,1,0,0,414,nil,nil,nil
1/7 16:25:07.819  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,36346,36701,0,852,0,35995,37000,0,498.74,-219.00,388,355,-1,1,0,0,0,nil,nil,nil
1/7 16:25:07.907  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0012528555,0000000000000000,1715,8190,0,0,1,0,0,0,499.31,-220.20,91,852,-1,4,0,0,0,1,nil,nil
1/7 16:25:07.907  SPELL_CAST_SUCCESS,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Creature-0-3777-1116-32565-75471-0012528555,0000000000000000,1715,8190,0,0,1,0,0,0,499.31,-220.20,91
1/7 16:25:07.907  SPELL_CAST_SUCCESS,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Creature-0-3777-1116-32565-75471-0011528555,0000000000000000,8190,8190,0,0,1,0,0,0,497.66,-220.15,91
1/7 16:25:07.907  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,94472,"Atonement",0x2,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,36033,37000,0,498.74,-219.00,388,387,32,0,1
1/7 16:25:07.907  SPELL_DAMAGE,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Player-47-0781E030,0000000000000000,35897,36701,0,852,0,36033,37000,0,498.74,-219.00,388,804,-1,8,0,0,0,nil,nil,nil
1/7 16:25:07.907  SPELL_AURA_APPLIED,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,DEBUFF
1/7 16:25:07.907  SPELL_DAMAGE,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Player-47-0781E030,0000000000000000,35093,36701,0,852,0,36033,37000,0,498.74,-219.00,388,804,-1,8,0,0,0,nil,nil,nil
1/7 16:25:07.996  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,93402,"Sunfire",0x8,"Out of range"
1/7 16:25:08.474  SPELL_CAST_START,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,167119,"Sting",0x8
1/7 16:25:08.474  SPELL_CAST_START,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,167119,"Sting",0x8
1/7 16:25:08.475  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0004D28554,0000000000000000,2245,8190,0,0,1,0,0,0,498.21,-220.48,91,426,-1,4,0,0,0,nil,nil,nil
1/7 16:25:08.475  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,35286,36701,0,852,0,36190,37000,0,498.74,-219.00,388,193,0,0,nil
1/7 16:25:08.536  SWING_DAMAGE,Creature-0-3777-1116-32565-75471-0005D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0005D28554,0000000000000000,8190,8190,0,0,1,0,0,0,497.17,-219.05,91,367,-1,1,0,0,0,nil,nil,nil
1/7 16:25:08.536  SWING_DAMAGE,Creature-0-3777-1116-32565-75471-0005528554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0005528554,0000000000000000,8190,8190,0,0,1,0,0,0,497.46,-219.91,91,490,-1,1,0,0,0,nil,nil,nil
1/7 16:25:08.536  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0005D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,34919,36701,0,852,0,36237,37000,0,498.74,-219.00,388,367,-1,1,0,0,0,nil,nil,nil
1/7 16:25:08.536  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0005528554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,34429,36701,0,852,0,36237,37000,0,498.74,-219.00,388,490,-1,1,0,0,0,nil,nil,nil
1/7 16:25:08.675  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,8921,"Moonfire",0x40,"Out of range"
1/7 16:25:09.036  SPELL_AURA_REMOVED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,DEBUFF
1/7 16:25:09.036  PARTY_KILL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0
1/7 16:25:09.037  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0011D28555,0000000000000000,0,8190,0,0,1,0,0,0,498.15,-220.46,91,426,73,4,0,0,0,nil,nil,nil
1/7 16:25:09.037  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,34623,36701,0,852,0,36319,37000,0,498.74,-219.00,388,194,0,0,nil
1/7 16:25:09.037  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,59913,"Swift Hand of Justice",0x1,Player-47-0781E030,0000000000000000,35357,36701,0,852,0,36319,37000,0,498.74,-219.00,388,734,0,0,nil
1/7 16:25:09.037  SPELL_ENERGIZE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,59914,"Discerning Eye of the Beast",0x20,Player-47-0781E030,0000000000000000,35357,36701,0,852,0,37000,37000,0,498.74,-219.00,388,681,59,0,37000
1/7 16:25:09.037  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-3777-1116-32565-75471-0011D28555,"Frenzied Swamplighter",0xa48,0x0
1/7 16:25:09.037  SPELL_PERIODIC_DAMAGE,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Player-47-0781E030,0000000000000000,34955,36701,0,852,0,37000,37000,0,498.74,-219.00,388,402,-1,8,0,0,0,nil,nil,nil
1/7 16:25:09.104  SPELL_CAST_SUCCESS,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,585,"Smite",0x2,Player-47-0781E030,0000000000000000,34955,36701,0,852,0,37000,37000,185,498.74,-219.00,388
1/7 16:25:09.104  SPELL_CAST_START,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
1/7 16:25:09.104  SPELL_AURA_REFRESH,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,208772,"Smite",0x2,DEBUFF
1/7 16:25:09.104  SPELL_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,585,"Smite",0x2,Creature-0-3777-1116-32565-75471-0004D28554,0000000000000000,30,8190,0,0,1,0,0,0,498.21,-220.48,91,2215,-1,2,0,0,0,nil,nil,nil
1/7 16:25:09.104  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,35963,36701,0,852,0,36821,37000,0,498.74,-219.00,388,1008,0,0,nil
1/7 16:25:09.104  SPELL_CAST_SUCCESS,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Creature-0-3777-1116-32565-75471-0004D28554,0000000000000000,30,8190,0,0,1,0,0,0,498.21,-220.48,91
1/7 16:25:09.185  SPELL_CAST_FAILED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,8921,"Moonfire",0x40,"Out of range"
1/7 16:25:09.865  SPELL_PERIODIC_DAMAGE,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,Creature-0-3777-1116-32565-75471-0012528555,0000000000000000,1289,8190,0,0,1,0,0,0,499.31,-220.20,91,426,-1,4,0,0,0,nil,nil,nil
1/7 16:25:09.865  SPELL_HEAL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,81751,"Atonement",0x2,Player-47-0781E030,0000000000000000,36157,36701,0,852,0,36983,37000,0,498.74,-219.00,388,194,0,0,nil
1/7 16:25:09.923  SWING_DAMAGE,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0012528555,0000000000000000,1289,8190,0,0,1,0,0,0,499.31,-220.20,91,917,-1,1,0,0,0,1,nil,nil
1/7 16:25:09.923  SWING_DAMAGE,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0011528555,0000000000000000,8190,8190,0,0,1,0,0,0,497.66,-220.15,91,401,-1,1,0,0,0,nil,nil,nil
1/7 16:25:09.923  SPELL_PERIODIC_DAMAGE,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,167119,"Sting",0x8,Player-47-0781E030,0000000000000000,35755,36701,0,852,0,36983,37000,0,498.74,-219.00,388,402,-1,8,0,0,0,nil,nil,nil
1/7 16:25:09.923  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0012528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,34838,36701,0,852,0,37000,37000,0,498.74,-219.00,388,917,-1,1,0,0,0,1,nil,nil
1/7 16:25:09.923  SWING_DAMAGE_LANDED,Creature-0-3777-1116-32565-75471-0011528555,"Frenzied Swamplighter",0xa48,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Player-47-0781E030,0000000000000000,34437,36701,0,852,0,37000,37000,0,498.74,-219.00,388,401,-1,1,0,0,0,nil,nil,nil
1/7 16:25:10.350  SPELL_CAST_SUCCESS,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,774,"Rejuvenation",0x8,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,65566,0,1100000,1100000,22000,477.53,-238.32,945
1/7 16:25:10.350  SPELL_AURA_APPLIED,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,774,"Rejuvenation",0x8,BUFF
1/7 16:25:10.350  SPELL_PERIODIC_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,774,"Rejuvenation",0x8,Player-47-0781E030,0000000000000000,36701,36701,0,852,0,37000,37000,0,498.74,-219.00,388,70632,68368,0,nil
1/7 16:25:10.366  SPELL_HEAL,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,Player-47-07C2EF5A,"Exgrull-Eitrigg",0x511,0x0,143924,"Leech",0x1,Player-47-07C2EF5A,0000000000000000,5240460,5240460,9030,65566,0,1078209,1100000,0,477.53,-238.32,945,3676,3676,0,nil
1/7 16:25:10.366  SPELL_AURA_REMOVED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,204213,"Purge the Wicked",0x4,DEBUFF
1/7 16:25:10.366  SPELL_AURA_REMOVED,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0,208772,"Smite",0x2,DEBUFF
1/7 16:25:10.366  PARTY_KILL,Player-47-0781E030,"Islen-Eitrigg",0x512,0x0,Creature-0-3777-1116-32565-75471-0004D28554,"Frenzied Swamplighter",0xa48,0x0
